movie_id,movie_name,year,genres
887,Shree Mission Ki Baatein,1939,Drama
1659,Baazigar Sapna Se Mulakaat,1974,Drama
1682,Dil Dosti Ki Kahani,1953,Drama
1699,Chalte Mission Ki Kahani,1968,Drama
1727,Raj Andaz Ki Kahani,1943,Drama
1758,Prem Raja Ka Raaz,2007,Drama
1776,Tum Sapna Ka Intezaar,2018,Drama
1807,Hamari Jung Ki Duniya,1947,Drama
1810,Hamari Manzil Ki Kahani,2004,Drama
1814,Ek Raat Se Mulakaat,1986,Drama
1820,Raj Raat Ki Duniya,1992,Drama
1836,Baazigar Manzil Ki Kahani,1949,Drama
1840,Jab Manzil Ki Kahani,1946,Drama
1873,Khiladi Kahani Ka Intezaar,1970,Drama
1877,Aashiq Raat Ka Safar,1963,Drama
1922,Ek Manzil Ka Safar,1998,Drama
2165,Khiladi Pyaar Ka Intezaar,1973,Drama
2188,Baazigar Manzil Ka Intezaar,2023,Drama
2190,Dil Zindagi Ke Rang,1938,Drama
2233,Tum Kahani Hai,2022,Drama
2234,Tera Raat Hai,2020,Drama
2236,Aashiq Manzil Ki Duniya,2007,Drama
2237,Jab Pyaar Ki Kahani,1930,Drama
2271,Dil Rishta Ka Safar,2008,Drama
2272,Tum Dosti Ki Baatein,1986,Drama
2276,Baazigar Raja Ke Rang,2012,Drama
2293,Chalte Zindagi Ki Baatein,1985,Drama
2304,Prem Raat Ka Intezaar,2023,Drama
2305,Khiladi Zindagi Ka Raaz,1935,Drama
2309,Prem Sapna Hai,2008,Drama
2310,Khiladi Zindagi Hai,1962,Drama
2314,Khiladi Pyaar Ka Intezaar,2008,Drama
2329,Jab Manzil Se Mulakaat,1981,Drama
2333,Ek Dosti Ki Duniya,1936,Drama
2336,Shree Kahani Ki Duniya,2016,Drama
2337,Dil Zindagi Ka Raaz,1998,Drama
2341,Ek Raja Ka Safar,1989,Drama
2343,Tera Raja Ka Safar,1996,Drama
2357,Baazigar Dosti Se Mulakaat,1957,Drama
2358,Raj Mission Se Mulakaat,1975,Drama
2360,Chalte Raat Ki Kahani,1931,Drama
2386,Baazigar Pyaar Ki Kahani,1961,Drama
2432,Aashiq Kahani Ka Intezaar,1974,Drama
2433,Tera Sapna Ka Intezaar,2001,Drama
2434,Khiladi Mission Ka Safar,1990,Drama
2435,Shree Pyaar Ki Duniya,1931,Drama
2440,Raj Pyaar Ki Kahani,1970,Drama
2442,Tum Manzil Ke Rang,1990,Drama
2486,Jab Zindagi Ke Rang,1988,Drama
2489,Tera Pyaar Ki Duniya,1993,Drama
2503,Chalte Rishta Ki Kahani,1933,Drama
2544,Chalte Zindagi Se Mulakaat,2020,Drama
2547,Ek Rishta Ka Safar,1975,Drama
2557,Prem Pyaar Ki Baatein,2015,Drama
2563,Tera Zindagi Ki Baatein,1991,Drama
2573,Dil Kahani Se Mulakaat,2013,Drama
2575,Shree Pyaar Ka Intezaar,1993,Drama
2579,Shree Pyaar Ka Raaz,1933,Drama
2588,Aashiq Manzil Ka Intezaar,2025,Drama
2590,Jab Zindagi Se Mulakaat,1996,Drama
2603,Tera Andaz Ki Duniya,1954,Drama
2607,Tum Mission Ka Intezaar,1972,Drama
2611,Ek Zindagi Ki Kahani,1938,Drama
2624,Raj Raat Ka Safar,2025,Drama
2630,Dil Raat Ki Kahani,1946,Drama
2673,Shree Raat Ki Duniya,1936,Drama
2691,Chalte Jung Hai,1955,Drama
2703,Baazigar Andaz Ka Safar,1987,Drama
2705,Tera Sapna Ka Raaz,1980,Drama
2773,Shree Rishta Ki Baatein,1975,Drama
2775,Hamari Rishta Ki Baatein,2001,Drama
2825,Khiladi Kahani Ki Kahani,1965,Drama
2830,Raj Andaz Ki Duniya,1981,Drama
2839,Hamari Kahani Se Mulakaat,1931,Drama
2911,Shree Jung Hai,1956,Drama
2958,Baazigar Manzil Hai,1957,Drama
2994,Khiladi Rishta Ki Duniya,1942,Drama
3187,Tera Jung Ka Raaz,1965,Drama
3191,Tera Manzil Ka Safar,1996,Drama
3192,Tum Jung Ka Intezaar,1997,Drama
3352,Chalte Andaz Ke Rang,1948,Drama
3411,Prem Dosti Ke Rang,1944,Drama
3636,Ek Jung Ke Rang,2005,Drama
3853,Tera Rishta Hai,1999,Drama
3876,Raj Raja Ki Baatein,1966,Drama
3887,Ek Kahani Ki Duniya,1960,Drama
14,Baazigar Zindagi Ki Kahani,1935,Drama
26,Aashiq Manzil Ki Baatein,1993,Drama
27,Jab Andaz Ka Intezaar,2025,Drama
30,Chalte Sapna Hai,1937,Drama
31,Ek Jung Ki Baatein,2021,Drama
36,Shree Zindagi Ka Raaz,2004,Drama
40,Jab Raja Ki Duniya,1969,Drama
43,Prem Dosti Ki Duniya,1934,Drama
55,Shree Manzil Ka Safar,1937,Drama
57,Hamari Jung Ka Safar,1968,Drama
62,Shree Rishta Se Mulakaat,1985,Drama
67,Baazigar Sapna Ka Intezaar,1971,Drama
78,Tum Jung Se Mulakaat,1965,Drama
80,Ek Manzil Ki Kahani,1948,Drama
82,Raj Mission Ke Rang,1937,Drama
83,Prem Jung Ki Baatein,1932,Drama
90,Hamari Raja Ka Safar,1970,Drama
97,Chalte Sapna Ka Raaz,2020,Drama
114,Tera Jung Ka Intezaar,1959,Drama
124,Prem Rishta Hai,1994,Drama
130,Baazigar Zindagi Ka Intezaar,1955,Drama
138,Dil Andaz Ka Raaz,1952,Drama
143,Tum Kahani Ki Duniya,1930,Drama
147,Prem Pyaar Ki Duniya,1948,Drama
148,Aashiq Rishta Ki Kahani,1972,Drama
150,Shree Dosti Se Mulakaat,2020,Drama
159,Dil Dosti Se Mulakaat,2005,Drama
167,Tera Sapna Ki Duniya,2016,Drama
175,Raj Sapna Se Mulakaat,2024,Drama
191,Tum Raat Ki Baatein,2020,Drama
193,Aashiq Manzil Ki Duniya,2011,Drama
194,Hamari Kahani Ka Intezaar,1947,Drama
197,Tum Raat Ki Baatein,1998,Drama
201,Hamari Mission Se Mulakaat,2012,Drama
209,Khiladi Raat Ka Raaz,1988,Drama
219,Aashiq Rishta Ka Raaz,1973,Drama
254,Khiladi Raat Hai,2010,Drama
271,Tera Jung Ka Safar,1932,Drama
279,Dil Rishta Ka Safar,1934,Drama
297,Raj Zindagi Ki Duniya,1981,Drama
358,Jab Manzil Ke Rang,1973,Drama
388,Shree Pyaar Ka Intezaar,2016,Drama
395,Hamari Andaz Ka Intezaar,1993,Drama
396,Tera Andaz Ki Kahani,1933,Drama
399,Ek Pyaar Hai,1988,Drama
400,Tum Raat Ka Intezaar,2021,Drama
617,Raj Raja Ke Rang,1961,Drama
629,Prem Mission Ka Intezaar,2015,Drama
636,Chalte Andaz Hai,2015,Drama
642,Hamari Manzil Ki Baatein,1942,Drama
645,Tum Raja Ki Duniya,1958,Drama
658,Khiladi Zindagi Se Mulakaat,2006,Drama
672,Prem Raja Se Mulakaat,1949,Drama
679,Khiladi Pyaar Ki Baatein,1942,Drama
685,Aashiq Sapna Ka Raaz,1935,Drama
715,Jab Jung Ki Kahani,1986,Drama
721,Khiladi Jung Hai,1976,Drama
729,Dil Kahani Ki Kahani,1933,Drama
738,Prem Dosti Ki Baatein,2021,Drama
744,Tum Rishta Se Mulakaat,1931,Drama
767,Shree Zindagi Ki Duniya,1972,Drama
768,Shree Zindagi Ka Raaz,1960,Drama
814,Tera Raat Ki Duniya,1936,Drama
816,Raj Sapna Ka Intezaar,1976,Drama
826,Tum Zindagi Ke Rang,1931,Drama
827,Tum Kahani Hai,1976,Drama
831,Prem Mission Se Mulakaat,1977,Drama
843,Aashiq Raja Se Mulakaat,2010,Drama
846,Prem Pyaar Ki Kahani,1975,Drama
865,Shree Manzil Ka Safar,1969,Drama
878,Khiladi Pyaar Ki Baatein,1966,Drama
884,Raj Sapna Ka Intezaar,2020,Drama
989,Tera Zindagi Ka Raaz,1982,Drama
1116,Khiladi Jung Hai,1983,Drama
1141,Tum Dosti Ka Safar,2002,Drama
1406,Prem Manzil Ki Baatein,1990,Drama
1428,Raj Sapna Ka Intezaar,1964,Drama
1555,Tera Kahani Ka Safar,1953,Drama
1559,Chalte Mission Ke Rang,1942,Drama
1741,Baazigar Rishta Ki Kahani,1949,Drama
1757,Shree Dosti Ki Baatein,1981,Drama
1789,Dil Pyaar Ke Rang,1977,Drama
1795,Dil Jung Ki Duniya,1984,Drama
1872,Chalte Andaz Ki Kahani,1956,Drama
2274,Raj Pyaar Ka Intezaar,2004,Drama
94,Hamari Raat Ki Baatein,1979,Drama
120,Prem Mission Ka Safar,2010,Drama
650,Baazigar Pyaar Ki Baatein,2007,Drama
660,Chalte Sapna Ke Rang,2006,Drama
666,Khiladi Mission Ka Raaz,1934,Drama
676,Ek Dosti Ka Intezaar,2006,Drama
703,Aashiq Rishta Ka Raaz,1994,Drama
706,Chalte Rishta Ki Baatein,1993,Drama
726,Raj Raja Ki Baatein,1967,Drama
763,Shree Manzil Ka Safar,1975,Drama
766,Chalte Raat Ki Duniya,2010,Drama
778,Jab Mission Ki Kahani,1948,Drama
781,Tum Rishta Ke Rang,1995,Drama
805,Shree Mission Ka Safar,1945,Drama
806,Khiladi Sapna Ke Rang,2002,Drama
835,Hamari Zindagi Ki Baatein,1987,Drama
848,Chalte Raja Ke Rang,1947,Drama
851,Jab Mission Ki Baatein,2004,Drama
862,Tera Zindagi Ki Duniya,1981,Drama
877,Tera Manzil Ke Rang,1971,Drama
893,Tera Jung Hai,1932,Drama
993,Shree Manzil Se Mulakaat,1938,Drama
994,Dil Kahani Ka Intezaar,2007,Drama
1006,Tera Kahani Ki Kahani,1940,Drama
1038,Jab Sapna Ka Intezaar,1948,Drama
1040,Jab Pyaar Ki Kahani,1978,Drama
1041,Ek Raat Ka Raaz,1983,Drama
1044,Baazigar Mission Ke Rang,2003,Drama
1051,Jab Sapna Ka Safar,1935,Drama
1052,Dil Sapna Ke Rang,1942,Drama
1054,Aashiq Rishta Ki Baatein,1932,Drama
1056,Raj Raja Ki Duniya,2007,Drama
1058,Khiladi Sapna Ki Kahani,1985,Drama
1062,Ek Andaz Hai,1961,Drama
1063,Aashiq Kahani Ka Intezaar,1988,Drama
1109,Khiladi Sapna Ki Duniya,2017,Drama
1114,Jab Raat Ki Kahani,2023,Drama
1117,Chalte Jung Ka Safar,2021,Drama
1120,Hamari Dosti Ki Kahani,1955,Drama
1121,Khiladi Sapna Hai,1977,Drama
1139,Dil Raat Ke Rang,1968,Drama
1140,Aashiq Dosti Ki Duniya,1944,Drama
1142,Jab Raja Ka Intezaar,1991,Drama
1312,Aashiq Raja Ka Intezaar,1939,Drama
1316,Tum Dosti Ki Kahani,2025,Drama
1354,Shree Manzil Hai,1985,Drama
1363,Aashiq Zindagi Se Mulakaat,2011,Drama
1365,Prem Raja Ki Baatein,1989,Drama
1366,Baazigar Dosti Ka Raaz,1962,Drama
1384,Baazigar Raat Ka Safar,2018,Drama
1397,Ek Zindagi Ki Kahani,2012,Drama
1399,Dil Manzil Ka Raaz,2012,Drama
1400,Aashiq Pyaar Se Mulakaat,1987,Drama
1401,Shree Dosti Se Mulakaat,2008,Drama
1411,Tum Jung Ke Rang,1971,Drama
1412,Tera Mission Ka Safar,2000,Drama
1413,Raj Rishta Ke Rang,1940,Drama
1417,Chalte Andaz Ki Duniya,1996,Drama
1423,Ek Manzil Se Mulakaat,2015,Drama
1486,Chalte Zindagi Ka Intezaar,1944,Drama
1504,Dil Zindagi Ki Duniya,1969,Drama
1519,Shree Raat Se Mulakaat,1995,Drama
1522,Aashiq Andaz Hai,2001,Drama
1531,Shree Raat Hai,2010,Drama
1533,Hamari Mission Se Mulakaat,1934,Drama
1545,Chalte Jung Ki Duniya,2015,Drama
1548,Aashiq Jung Hai,1938,Drama
1557,Jab Jung Ke Rang,2022,Drama
